review_id,steam_recommendation_id,app_id,game,review_text,language,voted_up,votes_up,votes_funny,weighted_vote_score,timestamp_created,timestamp_updated,playtime_forever,playtime_at_review,word_count,aspect_labels
1237970_221191578,221191578,1237970,Titanfall 2,"Believe the hype, this game is the best thing sliced bread! Don't let the movement mechanics scare you, Respawn did amazing with the controls and feeling of the whole game - ♥♥♥♥♥ buttery smooth, can't get good stuff like this anywhere else! The single-player AND multiplayer of this game is absolutely the GOAT, hands down. Anyone who says its not simply hasn't played it, and here's a little secret for multiplayer - the games still fun even when you lose, you're saddened by the fact that the match is over - winning or losing is an afterthought. Between the Titans and movement mechanics, the perfect story mode, you'll be surprised that ""it all just works"" and realize this game is lightning in a bottle. No exaggeration, add about 1,600+ hours to time played at time of review - I got this on Xbox when it came out so I'm guessing based off time I spent on games here on Steam. Could probably double that if the DDOS attack on the servers bullspit hadn't gone on for a couple years...",english,TRUE,0,0,0.5,1774035412,1777068279,7749,7697,179,story;controls;combat
1245620_219363858,219363858,1245620,Elden Ring,"BEST GAME LORE AND STYLE AND DEPTH, and I've played almost every RPG related game since Nintendo. 4 years later i'm still coming back for more!",english,TRUE,1,0,0.5238095521926879,1772213995,1772213995,92916,92107,26,other
1091500_221952131,221952131,1091500,Cyberpunk 2077,"It took me a while to get into the game, but once I did and started getting some upgrades and getting into the story I've been loving it. I also cross save the game to my Switch 2 and back to my pc.",english,TRUE,0,0,0.5,1774728746,1774728746,3206,2300,43,story
1145360_206777063,206777063,1145360,Hades,"The game never really catched me in the beginning, but when hades 2 came out I decided to try this one first and oh boy was I suprised to see how good it actually is. Finally a roguelike where it is not only the grind but a very nice and genuinely good story. The conversations are actually written as if they could really happen, not like most games. The Love for details in this Game one of my favorite upsides, because there is always something new to discover. The narrator is such a gift and makes the immersion even better. For an indie game, this game has a lot of potential and one can see that there are some thoughts behind a lot of aspects. Try it out, there is a reason why it got popular so quickly.",english,TRUE,0,0,0.5,1760529582,1760529582,1428,1384,138,story
1237970_208927007,208927007,1237970,Titanfall 2,"One of the best single-player campaigns of all time, and the multiplayer is a ton of fun. Unfortunately, EA exists",english,TRUE,49,9,0.8104239106178283,1762827522,1762827522,16952,16952,20,other
1245620_220589683,220589683,1245620,Elden Ring,"YOU DIED. AGAIN. SORT OF. (with a horse and fancier clothes, spells and weapons and cool visuals and better mechanics. a let-down final boss design. great DLC. and a tubers-lore goldmine)",english,TRUE,0,0,0.5,1773429435,1773429435,2996,2996,31,combat
1245620_225096870,225096870,1245620,Elden Ring,Came in. Got called maidenless. Killed the bastard. Learn you needed him to access a location otherwise you have to finish almost the entire game. No regret for killing ♥♥♥♥. 10/10 Would kill the guy again.,english,TRUE,0,0,0.5,1778316266,1778316266,2619,2179,36,combat
413150_226193401,226193401,413150,Stardew Valley,"Cute, but I personally found it to be extremely boring. Also controls like crafting are extremely unintuitive with no textual explainers unless you go hunting for them.",english,FALSE,4,0,0.5252593755722045,1779508595,1779508595,99,99,27,controls
413150_225678329,225678329,413150,Stardew Valley,"Amazing game, had played it before on xbox and on my phone but its really more comfortable to play on keyboard, it was designed with that it mind and it is pretty clear. Chill game to just relax for a while, and the soundrack really helps you relax and just forget about everything else",english,TRUE,0,0,0.5,1778948967,1778948967,963,190,54,other
1551360_199411647,199411647,1551360,Forza Horizon 5,Unskippable cutscenes. Unskippable DLC/currency adverts. Unskippable cringe story. Unskippable menu dialogue that stops any and all input. And when I'm playing with friends I spent more time loading than actually racing.,english,FALSE,0,0,0.5,1752106213,1752106213,1852,801,31,story;graphis
1245620_218811883,218811883,1245620,Elden Ring,"First souls-like game I have ever played and I loved it!! Take me quite some time to finish both the base game and DLC since I loved exploring the hole map finding and defeating every boss o mini-boss, there were no optional ones for me. The music and the visual art are amazing. Yes the engine feels outdated but accomplishes what a game must to be a master piece, and that's to be fairly challenging (this is quite challenging actually), rewarding and fun to play. Best game I have played in the decade",english,TRUE,0,0,0.5,1771624474,1771624474,13028,13028,93,graphics
1091500_225040786,225040786,1091500,Cyberpunk 2077,I played it years later after it's launch and it still was buggy but it's still a great game with a good story and interesting gameplay.,english,TRUE,0,0,0.5,1778253434,1778253434,6768,6768,26,story
