review_id,steam_recommendation_id,app_id,game,review_text,language,voted_up,votes_up,votes_funny,weighted_vote_score,timestamp_created,timestamp_updated,playtime_forever,playtime_at_review,word_count,aspect_labels
413150_223825401,223825401,413150,Stardew Valley,nice game pls let my girlfriend get the game for free she lost her account helppp if not then pretty mediocre game,english,TRUE,0,0,0.4761904776096343,1776836914,1776836914,4450,4450,22,other
1551360_205625291,205625291,1551360,Forza Horizon 5,"Great game, one of my all time favorites! Although, you will need a good internet connection! I have 1 GB and it still freezes sometimes.",english,TRUE,0,0,0.5,1759332668,1759332668,2630,1800,25,other
1145360_215643050,215643050,1145360,Hades,"Such a great game! The story is interesting, artwork is fantastic, and what I personally like the most is probably how much effort seems to have been put in the dialogue with characters. It seems like there's constantly new dialogue, which keeps the interactions interesting - I still read/listen to all of them! Even after possible failed escape attempts, it doesn't feel like I get stuck in place with progress, since the dialogue seems to adapt to failures and successes. Also you get to pet Cerberus!!",english,TRUE,0,0,0.5,1768047734,1768047953,4364,3390,86,story
1091500_221894773,221894773,1091500,Cyberpunk 2077,"god i love this game, thank god i didn't fall for the prelaunch hype you can fix bugs, but not a bad story, and this game has a GREAT story.",english,TRUE,0,0,0.5,1774681196,1774681196,6716,4334,30,story
1091500_225040194,225040194,1091500,Cyberpunk 2077,"I love this game really, very few bugs in the 100+ hours I invested into it. My hardware is limited but it managed to get 60+ FPS in Hight settings and it still looked beautiful.",english,TRUE,0,0,0.5,1778252920,1778252920,6337,6337,35,graphics
1245620_221566869,221566869,1245620,Elden Ring,"I always come back to the Lands Between. Finished the game solo, multiple times via co-op and even started some runs with randomizer and weapon mods. Game's a masterpiece.",english,TRUE,1,0,0.5238095521926879,1774350873,1774350873,14560,13674,29,other
1145360_222754078,222754078,1145360,Hades,"This game makes me horny, it makes me moan all the time (classically screaming). 10/10 experience for my emotional stakes.",english,TRUE,0,1,0.5,1775582813,1775582813,201,64,20,other
1091500_220683834,220683834,1091500,Cyberpunk 2077,"(A few hundred hours through GOG as well) One of the best open world RPG's ever made. Yes it launched in a bad state. But today, that's irrelevant. Today it's amazing. Story and more importantly great characters. Those are the reasons I play games, and this game does it best. Biggest negatives in this game are things that are not as good as GTA. Well GTA is literally the best in the world at those things. And I don't care that the cops are not as good as GTA. That's irrelevant to me. Which, for me means I actually come back to play this game multiple times unlike GTA.",english,TRUE,0,0,0.5,1773520653,1773520653,2419,2090,109,story
1145360_206527605,206527605,1145360,Hades,"Nobody reads my reviews anyway. I'll throw in a recipe for Varenyky. Recipe for Potato Dumplings (Varenyky) Ingredients: For the dough: Wheat flour 每 500 g Water 每 200 ml Egg 每 1 Salt 每 1 tsp For the filling: Potatoes 每 1 kg Onions 每 2 Lard or butter 每 50 g Salt 每 to taste Ground black pepper 每 to taste Preparation steps: Making the dough: Sifting the flour: Sift the flour into a large bowl. Making the dough: Add salt and the egg to the flour. Gradually pour in the water, constantly stirring. Knead the dough until it becomes smooth and elastic. Resting the dough: Wrap the dough in plastic wrap or cover it with a towel and let it rest for 30 minutes. Preparing the filling: Boiling the potatoes: Peel the potatoes, cut them into large pieces, and boil until tender in salted water. Preparing the onions: While the potatoes are boiling, finely chop the onions. Saut谷 the onions in lard or butter until golden brown. Making the potato puree: Drain the potatoes and mash them. Add the saut谷ed onions, salt, and pepper to taste, and mix well. Forming the dumplings: Rolling out the dough: Roll out the dough into a thin sheet about 2-3 mm thick. Use a glass or cutter to cut out circles approximately 7-8 cm in diameter. Forming the dumplings: Place a spoonful of potato filling on each circle of dough. Fold the dough in half and pinch the edges tightly to seal the dumplings. Cooking the dumplings: Boiling water: Bring a large pot of water to a boil, add salt. Cooking the dumplings: Gently drop the dumplings into the boiling water, stirring carefully to prevent sticking. Cook until done (approximately 5-7 minutes after they float to the surface). Serving: Removing the dumplings: Remove the dumplings with a slotted spoon and place them on a plate. Serving: Serve the dumplings hot, optionally drizzling with melted butter, sour cream, or saut谷ed onions. Enjoy your meal!",english,TRUE,0,0,0.4761904776096343,1760259813,1760259813,56,56,332,other
413150_221621602,221621602,413150,Stardew Valley,"I have dedicated more time to this game than to any other venture or pursuit in my real life - all I have known and will ever know is Stardew Valley. Stardew Valley consumes my every waking hour, my every conscious and unconscious thought is filled with nothing but Stardew Valley. Stardew Valley is love, Stardew Valley is life. 10/10 will play again.",english,TRUE,0,0,0.5,1774396769,1774396769,18101,14518,63,other
