review_id,steam_recommendation_id,app_id,game,review_text,language,voted_up,votes_up,votes_funny,weighted_vote_score,timestamp_created,timestamp_updated,playtime_forever,playtime_at_review,word_count,aspect_labels
413150_224084166,224084166,413150,Stardew Valley,"a very good game, at first it may seem difficult but once you get the hang of it, it plays well I highly recommend it",english,True,0,0,0.5,1777146423,1777146423,30870,20935,25,gameplay;difficulty;recommendation
413150_220455865,220455865,413150,Stardew Valley,"Got this game as way to pass the time during on-call shifts. In short time it became a go to game for rainy days, cold winter days, days sick etc. The short time commitment between auto saves made it ideal to start up and play a day or two.",english,True,0,0,0.5,1773269974,1773269974,50031,47387,49,relaxation;session_length;save_system
1145360_219260169,219260169,1145360,Hades,"Hades set up golden benchmark for rogue-lite games for good reasons. At the beginning I was very skeptical due its action genre that is not my usual cup of tea - and be honest I am also quite bad at it. But I still gave it a try... and than found how captivating it is. The story, the characters, the relations that develop and upgrade every run, alongside a rewarding meta progression system and different weapons... So I dived in. After initial runs and noob deaths I started improving and progress further and further. Started weapon upgrades, started discovering various skill combos and shaping character during the run alongside my clumsy reflexes... Took me 73 attempts for master everything enough to reach the game end.... but that was just another sort of beginning.. another 20-30 runs for true ending where you see eyour father from different light.. and after 137 runs I have finally unlocked all game achievements which come alongisde wraping all game stories (amazing at this point there are still new and new dialogues, but its starting to be bit too much for one game) Great experience, if some game should be evaluated as the best roguelite, it is Hades.",english,True,2,0,0.501084566116333,1772103692,1772104659,8685,8685,202,gameplay;story;characters;progression;weapons;difficulty;achievements;replayability
1145360_206861560,206861560,1145360,Hades,"I let him escape. He felt cold, saw a raising sun and met mother but bind to Hades for him is too strong ... so if you finished you know what happened next 😉",english,True,0,0,0.5,1760629153,1760629153,2478,862,34,story;ending
1091500_225075458,225075458,1091500,Cyberpunk 2077,"I played Cyberpunk 2077 at launch on PC, and yeah, it was buggy. To be fair, my experience back then wasn't quite the disaster everyone made it out to be, and I still enjoyed my time with it. But compared to where the game is today, it just wasn't ready to ship. Between the 2.0 overhaul and Phantom Liberty, CD Projekt Red has turned this into the game it always should have been. Night City is still one of the most atmospheric open worlds ever built, the reworked systems finally feel right, and Phantom Liberty is easily one of the best expansions in years. If you bounced off it at launch, this is the time to come back.",english,True,0,0,0.5,1778287689,1778287689,6150,6150,118,performance;technical_issues;open_world;atmosphere;systems;dlc
1551360_203064100,203064100,1551360,Forza Horizon 5,"Wroom-wroom-wroom. U'll need to STUDY, yes [h1] STUDY [/h1] how to drive in FH5, but this game is fun, so, good luck!",english,True,0,0,0.5,1756406230,1756406254,9222,8787,22,driving_physics;learning_curve;fun
1091500_224918241,224918241,1091500,Cyberpunk 2077,"Please, if you can buy this game, i beg you to do it. I can’t put into words how good this game is. It is not perfect, the start was VERY rough, but in 2026, it is one of if not the best game you can play. Depends on what you like. -RPG elements : Not the most fleshed out, after all you are playing as your V and not a completely made-up character. Still, they’re very, very good. Also it‘s important to mention that this decision opened many great possibilities in the game development that otherwise wouldn’t be possible. -Combat : I would say a benchmark. The way you can customize your fighting style to what you want to do is ridiculous. Everyone can find their style. -Visuals, graphics : THE benchmark. Demanding, of course, but in 2026, doable. And stunning. The game is extremely beautiful. -The story, worldbuilding : This is the best part of the game by a longshot, and that’s saying something. The game treats you like a ♥♥♥♥♥♥♥ adult for once, and you go through so many difficult, nail-biting, decisions that genuinely make you question who you are as a person. Not only is it very entertaining and downright inspirational, but very believable as well. You genuinely feel like a part of the story that is happening, somewhere, not so far away. Overall, i have not played a better game in my life. And honestly? I’m pretty sure that if CDPR doesn’t knock it out the park with the Witcher 4 or project Orion, i’ll never will :)",english,True,0,0,0.5,1778099107,1778099107,6713,6579,263,rpg_systems;combat;graphics;story;worldbuilding;choices;performance
1245620_220606495,220606495,1245620,Elden Ring,"I like this game very fun, played it for a while when it came out but was too young and sucked at the game but coming back and playing it again has been an absolute blast",english,True,0,0,0.5,1773444663,1773444663,4368,4267,36,fun;difficulty;replayability
1145360_208113598,208113598,1145360,Hades,"Hades is everything a dungeon-crawler fan could want out of a game. Its gameplay loop is rewarding and interesting, it's simple enough that there's no skill barrier, it's complex enough that the repetition is a benefit and not a detriment.",english,True,0,0,0.5,1761985173,1761985173,1645,1120,40,gameplay_loop;accessibility;complexity;replayability
1145360_208934342,208934342,1145360,Hades,"This is hands down the best rogue-lite game I've ever played. The art style is so gorgeous (I want to eat it) and the story is very catchy and exciting. The interactions and dialogues are never once the same - which, mad props to the devs on that, usually the dialogues on every other game becomes pretty repetitive and I am amazed by the fact that this game is very well done in that regard (just like in almost every other way). I've only encountered one bug but it's not gameplay critical. The gameplay itself it's never the same either, making it more and more difficult it's what marks this game as the very best on it's gender. Kudos to the devs and if you haven't played this game yet, I encourage you to give it a try! I assure you, u won't be disappointed.",english,True,0,0,0.5,1762837854,1767721069,7898,6427,145,art_style;story;dialogue;bugs;gameplay_loop;difficulty;replayability
