review_id,steam_recommendation_id,app_id,game,review_text,language,voted_up,votes_up,votes_funny,weighted_vote_score,timestamp_created,timestamp_updated,playtime_forever,playtime_at_review,word_count,aspect_labels
1237970_208182263,208182263,1237970,Titanfall 2,"Loved the original despite the lack of campaign, however this campaign is a fantastic addition to an exceptional multiplayer experience!",english,TRUE,1,0,0.5258620381,1762043336,1762043336,1820,1820,20,Story
1245620_222935359,222935359,1245620,Elden Ring,"My review of Elden Ring After 100 hours!!! And after completing the game 100% I can say it’s not just a game — it’s a legendary masterpiece! At the very least, it’s a complete game. A world with this level of beauty, scale, depth, and visual variety — from lush, green natural lands to desert regions and volcanic areas, from snowy realms and dragon-infested worlds to even an underground world. From the moment you enter the game, you realize you’re standing before the greatest game of the century — perhaps even the greatest thing ever created in gaming. The world design is carefully crafted and precise, but nothing surpasses the mastery and precision of the boss fights. Literally, Souls games are the only ones that have perfected boss combat — where you must memorize the boss’s moves, learn their fighting style, and master dodging with the correct timing. And since we mentioned timing, how can we not bring up parrying with shields — a unique and excellent feature in Souls / Souls-like games. The story has a depth that pulls you into deep thought, and the soundtracks transport you to another world, making the experience even more incredible. The variety of weapons — from magic, swords, bows, and spears — along with the diversity of skills (Ashes of War), adds even more richness. By the way, the game isn’t primarily based on magic, yet it contains hundreds of spells — meaning it even surpasses games that are built around magic, like Hogwarts Legacy. I don’t even know how to describe the greatness of the bosses to you. You’ll face some of the greatest bosses in Souls games — I’m talking about General Radahn, the Starscourge, descendant of war, the Red Lion, breaker of kings, shedder of blood. And I’m talking about Malenia, Lady of the Sword, the undefeated Blade of Miquella, the lone flower of the Elden. And not to mention Godfrey, the first Elden Lord, warrior of kings, breaker of thrones, the White Lion, the embodiment of raw power. The game is difficult and gives you nothing easily, but it rewards every effort you put in and every skill you learn. Every step is calculated, every decision carries weight, every moment is full of excitement, and every minute you spend in the game is a unique experience. Elden Ring is the crown of gaming. It doesn’t just deserve Game of the Year — it deserves Game of the Century. They made this masterpiece in just 5 years, which is honestly insane. Even the biggest studios couldn’t pull off something like this in that time. And yeah, I don’t regret spending a single penny on this game. Thanks, FromSoftware.",english,TRUE,0,0,0.5,1775818384,1775818384,10576,7443,449,Combat; Story; Graphics; Price
413150_219737923,219737923,413150,Stardew Valley,"I've been playing this game for years and i must say its really worth it, i love how it all plays out and as someone who loves to grind its the perfect game for me!",english,TRUE,0,0,0.5,1772570434,1772570434,33885,31703,35,Other
1145360_213757840,213757840,1145360,Hades,Gameplay is super fun and I like the different ways in which each weapon and power up works. I love the art style and voice acting that go along with the pretty interesting story,english,TRUE,0,0,0.5,1766260257,1766260257,2873,232,34,Combat; Story; Graphics
413150_225031864,225031864,413150,Stardew Valley,I play in collaboration with my Hubby and it's so sweet both creating together and doing our own thing. I highly recommend to anyone who loves cozy vibes to play solo or with friends and dear ones ^-^,english,TRUE,0,0,0.5,1778245405,1778245405,9173,9050,38,Other
1145360_210679820,210679820,1145360,Hades,"It's so good. Especially once you understand which gods are best at what. So much dialogue and story too, it's definitely a SG game. ♥♥♥♥♥♥ love this. Recommend it 10x over.",english,TRUE,0,0,0.5,1764108849,1764108849,4162,4130,31,Combat; Story
1551360_211206085,211206085,1551360,Forza Horizon 5,Great racing game with a lot of weekly content and events that keep you engaged. The car customization and tuning options are the best I've seen in any racing game. Also: the Hot Wheels expansion is awesome and I was sold when I saw the Deora II,english,TRUE,1,0,0.5238095522,1764260750,1764261600,9391,8007,47,Combat; Controls; Price
1145360_208873677,208873677,1145360,Hades,"Great game, plays amazing on steamdeck. Captures rogue-like essence perfectly. Great story, voice acting, visuals, you will see whether you like the game or not after only a few runs.",english,TRUE,0,0,0.5,1762770888,1762770888,5937,5937,30,Story; Graphics
1245620_223135959,223135959,1245620,Elden Ring,Elden ring has amazing combat and skills that you can use making it different from other souls-like games. It's also open world so you can go any where you want right at the start. The items you can collect are more entertaining to use than some of the items you could use in previous games by Fromsoftware.,english,TRUE,1,0,0.5,1776024972,1776024972,5083,1904,57,Combat
1237970_208410814,208410814,1237970,Titanfall 2,"Fantastic action game despite dumb dialogues and a forgettable story. You never get any real rest, the action is always fast and satisfying with just the right balance of difficulty, and the game surprises you many times with original game mechanics... A must play for action games enthusiasts...",english,TRUE,0,0,0.5,1762279375,1762279375,724,464,48,Combat; Story
