review_id,game,review_text,annotator_A,annotator_B,annotator_C,annotator_D,human_label
1237970_212883684,Titanfall 2,"One of the best games ever to exist in gaming, Storyline is absolutely peak and multiplayer used to be super good. if i could replay it again without knowing the previous storyline i would, and spend twice as much for the game.",story,story,story; price,story,story
413150_221161464,Stardew Valley,"It doesn’t provide clear missions or guidance, and I often had to search for information outside the game just to understand what to do next. This made the experience feel more like a hassle than enjoyable gameplay",other,other,other,other,other
1551360_217318680,Forza Horizon 5,"[h3]Summary[/h3] The game is really good quality-wise, but I'm no longer the target demographic thus I can't recommend it. [h3]The good[/h3] The game has some really fun gameplay, fantastic scenary (it really feel like a theme-park ride) and breathe high quality in atmosphere, graphics, sound (cars, music and commentator) and it simply feels great to drive. [h3]The Bad[/h3] Starting the game you have to log into your MS-account, connect your accounts and connect to it whenever you start the game (I couldn't find a way to start the game without it). No big deal, but it was 5 minutes of direct annoyance and if my internet goes I can't boot the game. Playing for around 2 hours I got hit by 3 fullscreen splash screens that locked my game until I removed it, straight after a race, in-game, that tried to sell me the new game FH6, missing DLC etc. The in-game store is very noticable with ""new notifications""-marks and it's part of the main menu. It felt like a mobile game in that regard. [h3]The Demographic[/h3] The game start with blasting off straight away, you get thrown into epic race scenes for about 5-10 minutes, which feel great, then you hit the character creation screen. It's a loud white and pink colored UI (which is the UI for the rest of the game). The first tab is to choose between very ethnically varied characters, next is genders including they/them... an two large tabs for choosing prosthetics and hearing aids... It's not a bad thing per se, but resources were spent on quite a lot of options that, to me, has no place in a racing game and is clearly catering to a certain crowd. After playing for 2 hours, I realized this was a theme. This game is very much trying to vibe with the ""modern audiances"" with bright colors and a chirpy attitude. I am not a fan of that. I wanted a simcade with muscle/super cars, high octane racing and a badass feel in a sleek upgraded package. I've realized I'm not the target demographic anymore, which is my issue and not the game being bad. However, it really pulls me out of the immersion. The Steam store pictures and trailers show none of this and all the focus is on cool cars going fast (in hindsight, the opening of the second trailer really hints at it). Thank god for Steam's refund policy.","graphics; 
other",graphics; controls,graphics; controls,graphics; combat; controls,graphics; controls
1245620_222850733,Elden Ring,I can't in all honesty not recommend this game. It is objectively a great game. Dark souls was better tho. I find the environnements like Liurnia boring and grey next to the dark majesty that was the Dark souls trilogy. Also doesnt play so well on Ultrawide even with third party fixes.,graphics,graphics; controls,graphics; controls,graphics,"graphics, controls"
413150_222510013,Stardew Valley,my gf makes me play this game alot and i think its fun when im in the mood i also like saying senbonzakura kageyoshi when cherry blossoms fall,other,graphics,graphics,other,graphics; other
413150_220418069,Stardew Valley,Lurve thisss game so much!!! It bring nostalgia when I was a kid when Im playing harvest moon :D I miss the good old day~,other,other,other,other,other
1091500_224410840,Cyberpunk 2077,"Despite it's poor launch, Cyberpunk 2077 has grown to become a great game. Good setting, ambiance, voice acting ties the whole world together in a nice little package. Having done a 100% achievement run, this game can grow to be a little tedious at times due to its repetitiveness in terms of side content, but dive deep into the world and be BEING in Night City is something that is unforgettable. Add to that the Phantom Liberty expansion that adds a whole new area and quests to explore. Cyberpunk 2077 has become one of those games you keep thinking about even when you're not playing. The somewhat damaged quest however leaves a bad taste in my mouth. Why is the game a survival horror all of a sudden? It makes zero sense. Overall, if you like neon drenched cities and just driving around a city that feels alive. Nothing can beat this.","graphics; 
story",story; graphics; other,story; graphics; other,story; graphics,graphics; story
1091500_222701887,Cyberpunk 2077,"Great narrative that pulls you in quick, but its the world that really keeps you engaged. Very immersive and filled with consequences. Gameplay is very tight and responsive.","story;
graphics;
controls",story; controls,story; controls,story,story; controls
1091500_222404084,Cyberpunk 2077,"Years later but sure, heres a review. This game is a masterpiece in adaptive story telling. So many ways for it to end. The game play is as fast paced as you want it to be and I mean as fast as you want. Wanna slowly methodically eliminate a base full of baddies with them never knowing you were there? Done. Wanna run so fast time slows and you go full cyber samurai on them? Done. Giant guns a blazing heavy armor frontal assault? Done. Knives? Bombs? Cars? Hand to hand? Sniper? Gun fu pistol? It has it all in combat. The world is beautiful and immersive. Everytime I play through it I find something new.","story;
combat",story; combat; graphics,story; combat; graphics,story; combat; graphics,story; combat; graphics
1245620_218003958,Elden Ring,"Absolute cinema, i was used to the less flashy bosses of Dark souls III but man, Placidusax go: ""SO WHAT IF YOU CAN SEE, THE DARKEST SIDE OF ME"" The most hell yeah fight outside the dlc. Try Elden but Ring.","graphics:
combat",story; combat,combat,combat,combat
1245620_223795445,Elden Ring,"In loving memory of my free time and my sanity. In exchange, I received an obsession with every other FromSoftware game. Please refer to me as Elden Lord. Worth it.",other,other,other,other,other
1091500_221370541,Cyberpunk 2077,"101 hours in the game, modern day Masterpiece of gaming. voice acting, story and combat all so fun and worth every second","story:
combat;
other",story; combat; graphics,story; combat,story; combat,story; combat
