aspect,model,kappa
combat,llama_zeroshot,1.0
combat,llama_fewshot,1.0
combat,mistral_zeroshot,0.645
combat,mistral_fewshot,0.772
story,llama_zeroshot,0.789
story,llama_fewshot,0.789
story,mistral_zeroshot,1.0
story,mistral_fewshot,0.795
graphics,llama_zeroshot,0.769
graphics,llama_fewshot,0.85
graphics,mistral_zeroshot,0.78
graphics,mistral_fewshot,0.85
price,llama_zeroshot,0.783
price,llama_fewshot,0.634
price,mistral_zeroshot,0.526
price,mistral_fewshot,0.38
controls,llama_zeroshot,0.815
controls,llama_fewshot,0.659
controls,mistral_zeroshot,0.734
controls,mistral_fewshot,0.556
other,llama_zeroshot,0.279
other,llama_fewshot,0.279
other,mistral_zeroshot,0.237
other,mistral_fewshot,0.156
