system,query_id,game,aspect,metric,relevance_type,score
aspect_aware_rerank,C01,Cyberpunk 2077,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C01,Elden Ring,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C01,Forza Horizon 5,combat,ndcg@10,aspect,0.0
aspect_aware_rerank,C01,Hades,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C01,Stardew Valley,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C01,Titanfall 2,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C02,Cyberpunk 2077,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C02,Elden Ring,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C02,Forza Horizon 5,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C02,Hades,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C02,Stardew Valley,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C02,Titanfall 2,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C03,Cyberpunk 2077,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C03,Elden Ring,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C03,Forza Horizon 5,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C03,Hades,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C03,Stardew Valley,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C03,Titanfall 2,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C04,Cyberpunk 2077,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C04,Elden Ring,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C04,Forza Horizon 5,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C04,Hades,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C04,Stardew Valley,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C04,Titanfall 2,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C05,Cyberpunk 2077,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C05,Elden Ring,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C05,Forza Horizon 5,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C05,Hades,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C05,Stardew Valley,combat,ndcg@10,aspect,0.0
aspect_aware_rerank,C05,Titanfall 2,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C06,Cyberpunk 2077,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C06,Elden Ring,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C06,Forza Horizon 5,combat,ndcg@10,aspect,0.0
aspect_aware_rerank,C06,Hades,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C06,Stardew Valley,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C06,Titanfall 2,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C07,Cyberpunk 2077,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C07,Elden Ring,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C07,Forza Horizon 5,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C07,Hades,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C07,Stardew Valley,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,C07,Titanfall 2,combat,ndcg@10,aspect,1.0
aspect_aware_rerank,G01,Cyberpunk 2077,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G01,Elden Ring,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G01,Forza Horizon 5,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G01,Hades,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G01,Stardew Valley,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G01,Titanfall 2,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G02,Cyberpunk 2077,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G02,Elden Ring,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G02,Forza Horizon 5,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G02,Hades,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G02,Stardew Valley,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G02,Titanfall 2,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G03,Cyberpunk 2077,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G03,Elden Ring,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G03,Forza Horizon 5,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G03,Hades,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G03,Stardew Valley,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G03,Titanfall 2,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G04,Cyberpunk 2077,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G04,Elden Ring,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G04,Forza Horizon 5,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G04,Hades,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G04,Stardew Valley,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G04,Titanfall 2,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G05,Cyberpunk 2077,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G05,Elden Ring,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G05,Forza Horizon 5,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G05,Hades,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G05,Stardew Valley,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G05,Titanfall 2,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G06,Cyberpunk 2077,graphics,ndcg@10,aspect,1.0
aspect_aware_rerank,G06,Elden Ring,graphics,ndcg@10,aspect,1.0
